color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,roi,profit,is_profitable,budget_category,main_genre,rating_category
Color,Rob Cohen,1.0,0.0491582429836728,1,1.0,Vin Diesel,1.0,1.0,Action|Crime|Thriller,Paul Walker,the fast and the furious,1,1,Jordana Brewster,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,3.0,English,USA,PG-13,0.4222208227126594,,1,0.6623376623376623,2.35,14000,136.84289030921286,0.5777791772873406,True,Micro (<$1M),Action,Muy Mala (0-4)
Color,,-1.0,-2.8135165501977446,1,1.0,Philip Michael Thomas,1.0,,Action|Crime|Drama|Mystery|Thriller,Don Johnson,miami vice,1,1,John Diehl,cult tv|detective|drugs|police|undercover,http://www.imdb.com/title/tt0086759/?ref_=fn_tt_tt_1,0.0,English,USA,TV-14,0.0166642848090454,,1,0.7662337662337662,1.33,0,,,False,Micro (<$1M),Action,Muy Mala (0-4)
Color,Paul Verhoeven,1.0,0.484782668033019,1,1.0,Rachel Ticotin,1.0,1.0,Action|Sci-Fi,Ronny Cox,total recall,1,1,Marshall Bell,ambiguous ending|false memory|implanted memory|memory|space colony,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,1.0,English,USA,R,0.7222215493810862,,1,0.7662337662337662,1.85,0,38.46166745605395,0.2777784506189138,True,Micro (<$1M),Action,Muy Mala (0-4)
Color,John McTiernan,0.0,-0.1997699999016678,1,1.0,Vladimir Kulich,1.0,1.0,Action|Adventure|History,Tony Curran,the 13th warrior,1,1,Clive Russell,arab|battle|combat|viking|warrior,http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1,2.0,English,USA,R,0.9444443098762172,,1,0.6493506493506492,2.35,0,5.882368027720361,0.05555569012378281,True,Micro (<$1M),Action,Muy Mala (0-4)
Color,Frédéric Forestier,0.0,0.6714788501970245,0,1.0,Santiago Segura,1.0,,Adventure|Comedy|Family|Fantasy,Alain Delon,asterix at the olympic games,1,1,Vanessa Hessler,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,http://www.imdb.com/title/tt0463872/?ref_=fn_tt_tt_1,0.0,French,France,,0.8666663437029213,,1,0.4545454545454545,2.35,291,,,False,Micro (<$1M),Adventure,Muy Mala (0-4)
Color,Peter Chelsom,0.0,-0.0753058784589974,1,1.0,Warren Beatty,1.0,1.0,Comedy|Romance,Del Zamora,town & country,1,1,Garry Shandling,anniversary|architect|cellist|friend|hardware store,http://www.imdb.com/title/tt0141907/?ref_=fn_tt_tt_1,0.0,English,New Line,R,1.0,,1,0.3636363636363636,1.85,53,0.0,0.0,False,Micro (<$1M),Comedy,Muy Mala (0-4)
Color,Dominic Sena,1.0,1.3560315181317113,1,1.0,Angelina Jolie Pitt,1.0,1.0,Action|Crime|Thriller,Nicolas Cage,gone in sixty seconds,1,1,Robert Duvall,auto theft|brother|car|theft|thief,http://www.imdb.com/title/tt0187078/?ref_=fn_tt_tt_1,1.0,English,USA,PG-13,1.0,,1,0.6363636363636364,2.35,0,0.0,0.0,False,Micro (<$1M),Action,Muy Mala (0-4)
Color,Peter Hyams,1.0,0.9826391538037004,0,1.0,Mark Margolis,1.0,1.0,Action|Fantasy|Horror|Mystery,CCH Pounder,end of days,1,1,Udo Kier,atheist|ex cop|female masturbation|female nudity|lucifer,http://www.imdb.com/title/tt0146675/?ref_=fn_tt_tt_1,1.0,English,USA,R,0.922222033826704,,1,0.5324675324675324,2.35,2000,8.433757091072863,0.07777796617329602,True,Micro (<$1M),Action,Muy Mala (0-4)
Color,Zack Snyder,1.0,-0.2620020606230029,0,1.0,Richard Roxburgh,1.0,1.0,Action|Adventure|Animation|Family|Fantasy,Abbie Cornish,legend of the guardians: the owls of ga'hoole,1,1,Anthony LaPaglia,barn owl|escape|owl|ruler|soldier,http://www.imdb.com/title/tt1219342/?ref_=fn_tt_tt_1,0.0,English,USA,PG,0.8888886197524344,,1,0.7012987012987012,2.35,16000,12.500034062592839,0.11111138024756562,True,Micro (<$1M),Action,Muy Mala (0-4)
Color,Patrick Hughes,2.0,1.604959761017052,1,1.0,Sylvester Stallone,1.0,1.0,Action|Adventure|Thriller,Jason Statham,the expendables 3,1,1,Harrison Ford,battle|fight|mission|pg 13 sequel to r rated franchise|rescue,http://www.imdb.com/title/tt2333784/?ref_=fn_tt_tt_1,1.0,English,USA,PG-13,1.0,,1,0.5844155844155844,2.35,56000,0.0,0.0,False,Micro (<$1M),Action,Muy Mala (0-4)
Color,Lawrence Guterman,0.0,-0.6976264856723491,1,1.0,Traylor Howard,1.0,1.0,Comedy|Family|Fantasy,Jamie Kennedy,son of the mask,1,1,Ben Stein,baby|cartoon on tv|cartoonist|dog|mask,http://www.imdb.com/title/tt0362165/?ref_=fn_tt_tt_1,1.0,English,USA,PG,0.9333331718514606,,1,0.0779220779220779,1.85,881,7.142875680320232,0.06666682814853941,True,Micro (<$1M),Comedy,Muy Mala (0-4)
Color,David Mamet,0.0,0.2980864858690135,1,1.0,Felicity Huffman,1.0,1.0,Drama|Mystery|Thriller,Ben Gazzara,the spanish prisoner,1,1,Campbell Scott,brother sister relationship|extradition|fbi|japanese tourist|secret,http://www.imdb.com/title/tt0120176/?ref_=fn_tt_tt_1,1.0,English,USA,PG,0.111108958019476,,1,0.7402597402597402,1.85,578,800.0174403802012,0.888891041980524,True,Micro (<$1M),Drama,Muy Mala (0-4)
Color,Frank Oz,1.0,-0.7598585463936843,0,1.0,Matthew Broderick,1.0,1.0,Comedy|Sci-Fi|Thriller,Jon Lovitz,the stepford wives,1,1,Roger Bart,community|connecticut|fem bot|tv producer|writer,http://www.imdb.com/title/tt0327162/?ref_=fn_tt_tt_1,1.0,English,USA,PG-13,1.0,,1,0.4675324675324676,1.85,0,0.0,0.0,False,Micro (<$1M),Comedy,Muy Mala (0-4)
Color,Peter Jackson,2.0,1.8538880039023928,0,1.0,AJ Michalka,1.0,1.0,Drama|Fantasy|Thriller,Michael Imperioli,the lovely bones,1,1,Tom McCarthy,1970s|afterlife|heaven|pedophile|rape,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,2.0,English,USA,PG-13,0.7222215493810862,,1,0.6623376623376623,2.35,16000,38.46166745605395,0.2777784506189138,True,Micro (<$1M),Drama,Muy Mala (0-4)
Color,Mark Waters,1.0,0.111390303705008,1,1.0,Tod Fennell,1.0,1.0,Adventure|Family|Fantasy,Martin Short,the spiderwick chronicles,1,1,Joan Plowright,actor playing multiple roles|brownie the creature|closing credits sequence|family relationships|magical creature,http://www.imdb.com/title/tt0416236/?ref_=fn_tt_tt_1,0.0,English,USA,PG,1.0,,1,0.6493506493506492,2.35,0,0.0,0.0,False,Micro (<$1M),Adventure,Muy Mala (0-4)
Color,Barry Sonnenfeld,1.0,-0.4486982427870085,1,1.0,Rip Torn,1.0,1.0,Adventure|Comedy|Family|Mystery|Sci-Fi,Will Smith,men in black,1,1,Linda Fiorentino,alien|box office hit|flying saucer|laser gun|wisecrack humor,http://www.imdb.com/title/tt0119654/?ref_=fn_tt_tt_1,1.0,English,USA,PG-13,1.0,,1,0.7402597402597402,1.85,0,0.0,0.0,False,Micro (<$1M),Adventure,Muy Mala (0-4)
